STT	N?i dung câu h?i	Ðáp án dúng
61	Ch?c nang c?a m?ng MAN-E là gì?	Là m?ng dô th? dùng công ngh? Ethernet  cung c?p các d?ch v? l?p 2, MyTV ,VOD  t?i t?t  c? các t?nh , k?t n?i vói m?ng Core VN2 c?a VNPT 
62	Ch?c nang c?a m?ng vô tuy?n 3G là	Cung c?p, di?u ki?n và qu?n lý tài nguyên vô tuy?n.
63	Ch?c nang c?a NodeB là 	"Qu?n lý kênh vô tuy?n
Mã hóa và gi?i mã kênh
Ði?u ch?nh công su?t phát"
64	Ch?c nang c?a t?ng dài AXE trên m?ng lu?i vi?n thông c?a TCT Net là gì?	Làm T?ng dài Toll
65	Ch?c nang chính c?a STP trong m?ng báo hi?u SS7 	"Ð?nh tuy?n các b?n tin báo hi?u.
Qu?n lí m?ng báo hi?u.
Th?c hi?n do ki?m.
Phiên d?ch d?a ch? GT (Global Title)
Làm ch?c nang Gateway Screening Function: l?c các b?n tin báo hi?u.
"
66	Ch?c nang chuy?n m?ch ASON thi?t b? 1830PSS-36 du?c di?u khi?n b?i 	FLC
67	D?ch v? SMS BrandName du?c cung c?p b?i h? th?ng thi?t b? nào c?a VNPT Net2 ?	H? th?ng SMSGW
68	Dung lu?ng t?i da c?a h? th?ng M16.1 ATCA-MSSN  có c?u hình cao nh?t (1 cabinet, 3 shelves) là bao nhiêu 	5 tri?u thuê bao, 120 nghìn calls cùng m?t lúc. 
69	Ða truy c?p ghép kênh phân chia theo t?n s? có tên vi?t t?t là gì	FDMA
70	Ða truy c?p ghép kênh phân chia theo th?i gian có tên vi?t t?t là gì	TDMA
71	Ð?c trung chính c?a lo?i Hardware ATCA dang s? d?ng trên h? th?ng MSSN và MGWN c?a VNPT-NET 	"Dung lu?ng l?n, nang lu?ng di?n tiêu thu th?p.
Kích thu?c nh? và kh? nang tuong thích cao v?i các h? th?ng dang có
Lu?ng khí th?i CO2 th?p
"
72	Ð? giám sát và Ði?u khi?n ho?t d?ng c?a Subrack IS trên các MSS Blade cluster Ericsson, ta dùng chuong trình gì 	S? d?ng giao th?c http qua ?ng d?ng Web Browser
73	Ð? ti?n hành thay th? card d? phòng cho các t?ng dài MSS Ericsson ta c?n xem các thông tin gì trên card d? phòng d? thay th? phù h?p 	"Tên card
S? Part Number
"
74	d?a ch? port craft default trên module UOSC c?a thi?t b? Ciena CPL là	10.10.0.1/30
75	Ði?m khác bi?t co b?n gi?a Node OADM và ROADM trong h? th?ng DWDM là gì?	ROADM có th? tùy ch?nh remote vi?c add/drop bu?c sóng mà không ?nh hu?ng d?n các bu?c sóng dã pass-through qua Node
76	di?m khác nhau gi?a tín hi?u s? và tín hi?u tuong t? là Tín hi?u s? là tín hi?u có giá tr? h?u h?n trong mi?n xét (t?n s?, biên d?), còn tính hi?u tuong t? có giá tr? liên t?c, so sánh này dúng  hay sai	dúng
77	di?m khác nhau gi?a tín hi?u s? và tín hi?u tuong t? là tín hi?u s? là tín hi?u ch? có hai giá tr?, còn tín hi?u tuong t? có nhi?u hon hai giá tr?, so sánh này dúng  hay sai	sai
78	Ð? r?ng bang t?n c?a m?t t?n s? s? d?ng trong WCDMA	5MHZ
79	Ð? r?ng bang t?n c?a m?t t?n s? trong GSM là 	200 KHz
80	Ð?i v?i d?ch v? Megawan cung c?p, d?nh tuy?n gi?a thi?t b? m?ng c?a TCT Net v?i thi?t b? khách hàng dang s? d?ng phuong th?c:	"Static
EBGP
"
81	Ðon v? nào ch?u trách nhi?m chính v?n hành khai thác m?ng IP Mobile Core VNPT khu v?c NET2 	INOC2
82	Ðon v? nào hi?n dang ch?u trách nhi?m chính trong vi?c v?n hành khai thác h? th?ng các t?ng dài di d?ng khu v?c NET2	SNOC2
83	EDFA là b? khu?ch d?i quang 	"Ho?t d?ng d?a trên các thành ph?n ch? y?u là ngu?n bom laser có bu?c sóng 980 nm và 1480 nm và s?i quang pha t?p nguyên t? hi?m Erbium.
Ðu?c ?ng d?ng trong các tru?ng h?p nhu khu?ch d?i công su?t cho phía phát, khu?ch d?i du?ng dây cho các tuy?n quang dài, và ti?n khu?ch d?i cho phía thu trên h? th?ng DWDM.
Ho?t d?ng du?c v?i dãi bu?c sóng thu?c bang C và L"
84	Ghép kênh phân chia theo t?n s? có tên vi?t t?t là gì	FDM
85	Ghép kênh phân chia theo th?i gian có tên vi?t t?t là gì	TDM
86	Giao th? d?nh tuy?n OSPF dang khai báo trong m?ng IP Core cho mobile hi?n t?i là	OSPFv2
87	Giao th?c dang du?c s? d?ng d? truy?n tin nh?n SMS gi?a h? thông SMSGW  v?i các h? th?ng khác là	SMPP
88	Giao th?c dóng gói tín hi?u GE vào khung SDH trên thi?t b? FW4570	GFP
89	Hai t?ng dài MSS Ericsson có dung lu?ng khác nhau có th? c?u hình vào cùng 1 Pool Area , Ðúng hay sai 	TRUE
90	H?n ch? hi?n nay c?a công ngh? ghép bu?c sóng quang DWDM là :	"Chua khai thác h?t bang t?n ho?t d?ng c?a soi quang (ch? s? d?ng dãi bu?c sóng bang C và L).
Ph? thu?c r?t nhi?u vào d?c tính c?a s?i quang s? d?ng.
"
91	hãy li?t kê các d?ch v? ch?y trên thi?t b? BRAS E320	MegaVNN, FTTH
92	hãy Li?t kê các d?ch v? ch?y trên thi?t b? BRAS ERX 1410/1440/705	MegaVNN, MegaWan, FTTH
93	H? th?ng DWDM có th? k?t n?i nhi?u hu?ng khác nhau (multi degree) nh? có :	B? xen/r? bu?c sóng quang ROADM (tích h?p WSS) da hu?ng có th? th?c hi?n c?u hình t? xa cho t?ng bu?c sóng quang xen/r?.
94	H? th?ng DWDM du?c ?ng d?ng trong các mô hình :	"M?ng truy?n d?n quang du?ng dài (long haul).
M?ng truy nh?p (access).
M?ng truy?n d?n quang dô th?(MAN).
"
95	H? th?ng DWDM ki?u “tích h?p” có d?c tính khác v?i h? th?ng DWDM ki?u “m?” là :	H? th?ng DWDM ki?u tích h?p yêu c?u tín hi?u quang t?i các ngõ vào h? th?ng DWDM ph?i tuân th? tiêu chu?n ITU-T G.962.
96	H? th?ng EAGLE 5 ISS Tekelec  có ch?c nang là:	M?ng báo hi?u d?c l?p trên m?ng lu?i vi?n thông-STP
97	H? th?ng ManE t?i các VNPT T?nh/TP do TCT Net qu?n lý s? d?ng thi?t b? c?a hãng nào?	"Cisco
Huawei
"
98	H? th?ng NGN bao g?m các thi?t b? nào sau dây	"SoftSwitch HiE 9200, HiG1000, HiG1100, HiG1200, HiR200, HiQ20, HiQ30
Các router Core và các router biên
"
99	H? th?ng Router ManE-Huawei t?i VNPT T?nh/TP do TCT Net qu?n lý có t?t c? 2 th? nh??	True 
100	H? th?ng STP Tekelek có các lo?i Card nào sau dây 	"E5-MASP, E5-SM4G, E5-ENET, E5-TSM;
E5-IPSM, E5-E1/T1, E5-ATM"
101	H? th?ng STP Tekelek có th? cho phép khai báo t?i da bao nhiêu Point Code theo chu?n ITU	16,384
102	H? th?ng STP Tekelek don v? do luu lu?ng c?a m?t link báo hi?u sigtran là gì 	TPS
103	H? th?ng Surpass  có kh? nang du?c s? d?ng d? cung c?p d?ch v? thay th? cho t?ng dài AXE	TRUE
104	H? th?ng thi?t b? d?ng b? US5Ge  dang cung c?p lo?i tín hi?u d?ng b? nào?	" 2Mbps/2MHz; PTP;  NTP
 (C? 3 lo?i)
"
105	Hi?n nay các co ch? b?o v? luu lu?ng dang du?c d?u n?i chia s? gi?a các thi?tb? t?i các tr?m T?nh thu?c Net2 nhu sau	"Các link MSP 1+1 trên FW4570 du?c chia s? qua HW OSN-8800
Các link MSP 1+1 trên FW4570 ch? du?c k?t n?i trên cùng FW7500. (a+b)
"
106	Hi?n nay NOC2 dang áp d?ng c?u hình b?o v? chuy?n m?ch b?o v? d?i v?i các links SDH t?i các t?nh phía Nam	"B?o v? MSP 1+1; B?o v? SNCP
B?o v? MS-SPRing (t?t c? dúng)
"
107	Hi?n t?i trên m?ng NGN dang có luu lu?ng c?a các d?ch v? nào?	171, 1719, 1800, 1900 và các d?ch v? IP 
108	Hi?n tu?ng t?c ngh?n  trên các hu?ng trung k? liên dài x?y ra khi	S? cu?c tho?i c?n k?t n?i d?ng th?i l?n hon s? kênh trung k?
109	Ho?t d?ng c?a b? khu?ch d?i RAMAN su? du?ng trong hê? thô´ng DWDM :	"D?a trên hi?n tu?ng tán x? kích thích Raman, b? khu?ch d?i Raman không gi?i h?n dãi bu?c sóng khu?ch d?i.
Nh? vào ho?t d?ng c?a ngu?n bom laser ?n d?nh có công su?t cao (có th? lên d?n 1W), b? ghép (coupler) và b? cách ly (isolator).
"
110	Kênh giám sát OSC thi?t b? FW7500 có bu?c sóng	1510nm
111	Kênh OSC trong h? th?ng DWDM co´ thê? s? d?ng bu?c sóng nào sau dây?	"1510 nm;1620 nm;1310 nm
T?t c? các phuong án d?u dúng
"
112	K?t n?i gi?a RNC và Router có th? s? d?ng c? hai giao di?n di?n và quang	TRUE
113	K?t n?i t? TRAU d?n các MediaGateway c?a t?ng dài Ericsson thu?c dài VT CTO  dang s? d?ng giao di?n gì 	"STM1
E1
"
114	Kh? nang k?t n?i chéo card MT1T9C thi?t b? 1830PSS-36	"1,92Tbps c?p ODU
640Gbps c?p SDH   (cà 2)"
115	khai báo OSPF hi?n t?i trên interface các Router PE, P trong m?ng IP Mobile là mode nào	Point-to-point
116	Khi 2 t?ng dài du?c c?u hình vào cùng 1 Pool Area thì d? li?u khai báo trên 2 t?ng dài ph?i gi?ng nhau, dúng hay sai 	TRUE
117	Khi có s? c? x?y ra gây m?t liên l?c các t?ng dài MSS Ericsson thì khách hàng không th? s? d?ng d?ch v? DATA trên sóng 3G, dúng hay sai 	FALSE
118	Khi login vào các Router trong m?ng IP Core Mobile, hi?n t?i ngu?i khai thác dang s? d?ng giao th?c nào d? k?t n?i vào Router	Telnet
119	Không th? khai báo các d?ch v? VPN trên h? th?ng ManE, b?t bu?c ph?i khai báo trên Router PE ho?c BRAS?	FALSE
120	L?y m?u tín hi?u trong quá trình PCM là 	Quá trình chuy?n d?i tín hi?u tuong t? liên t?c theo th?i gian thành tín hi?u r?i r?c v?i 1 t?n s? l?y m?u nào dó.
121	l?ch s? phát tri?n c?a vi?n thông du?c chia thành bao nhiêu pha trong quá trình phát tri?n	4
122	Lo?i kênh truy?n nào không s? d?ng trong m?ng truy?n hình h?i ngh? NGN ?	Leasedline
123	Lo?i Router Cisco ASR9K nào dang s? d?ng trong m?ng IP Core Mobile t?i NET2	9010
124	Lo?i tín hi?u báo hi?u nào sau dây dang du?c s? d?ng t?i t?ng dài Toll	"SS7; R2
"
125	Lo?i thi?t b? MG nào trong h? th?ng Surpass c?a TCT Net có dung lu?ng k?t n?i 32 E1?	hiG 1100
126	Lo?i thi?t b? nào sau dây không có trong h? th?ng Surpass c?a TCT Net?	hiG 1600
127	Luu lu?ng d?ch v? t? các RNC v? các t?ng dài MSS Ericsson hi?n t?i dang s? d?ng qua giao di?n truy?n d?n gì 	IP
128	Mã di?m báo hi?u l?n lu?t c?a STPT4A và STPT4B dùng d? khai báo  báo hi?u sigtran là bao nhiêu 	8778 và 8779
129	Mã du?ng truy?n AMI có d?c di?m 	"Không có thành ph?n DC nh? d?c tính luân phiên d?o d?u.
Có th? t?n t?i nhi?u bit 0 liên ti?p
Gi?m suy hao trên du?ng truy?n do thành ph?n DC gây ra."
130	Mã HDB3 có d?c di?m 	"Không có thành ph?n DC
Ch? t?n t?i t?i da 3 bit 0 liên ti?p"
131	Mã hoá trong quá trình PCM là S? chuy?n d?i các giá tr? lu?ng t? hoá c?a tín hi?u tuong t? thành mã nh? phân d? truy?n di.	TRUE
132	M?ng 3G Vinaphone dang s? dung công ngh? da truy c?p nào	WCDMA
133	M?ng 3G Vinaphone s? d?ng công ngh? nào sau dây:	T?t c? d?u sai (coi l?i)
134	M?ng chuy?n m?ch liên t?nh  th?c hi?n chuy?n ti?p các cu?c g?i liên t?nh cho t?t c? các VNPT T/TP trên toàn qu?c, các m?ng di d?ng và các m?ng Doanh nghi?p Vi?n thông khác?	true 
135	M?ng MAN-E c?a VNPT s? d?ng c?u trúc d?u n?i nào sao dây   	Ring topology  
136	M?ng MAN-E c?a VNPT s? d?ng thi?t b? c?a các vendor nào sau dây  	Huawei  và Cisco 
137	M?ng vô tuy?n 3G g?m có các ph?n t? chính 	RNC + NodeB
138	MGW c?a t?ng dài NSN ATCA có t?i da bao nhiêu shelf	3
139	M?i card E5-IPSM trong h? th?ng STP Tekelek có th? cung c?p bao nhiêu port telnet vào h? th?ng 	8
140	M?i card ET-C41 trên các Media Gateway c?a các MSS Ericsson h? tr? bao nhiêu port STM1	4
141	M?i module Power and Fan trên subrack IS c?a T?ng dài Ericsson có bao nhiêu ngu?n cung c?p	3
142	M?i subrack trên các t?ng dài Ericsson có bao nhiêu module FAN	2
143	M?t da khung du?c hình thành t? cách ghép 16 khung 2Mbit/s co s? (PCM-30), và có d? dài là 2ms	TRUE
144	M?t kênh báo hi?u R2 có th? dáp ?ng t?i da bao nhiêu kênh trung k? tho?i?	30
145	M?t s? thông s? c?a b? khu?ch d?i EDFA có th? gây ?nh hu?ng x?u t?i ch?t lu?ng ho?t d?ng c?a h? th?ng DWDM là :	"T?p âm n?i c?a b? khu?ch d?i EDFA, h? s? t?p âm này có th? làm suy gi?m SNR c?a h? th?ng.
Ð? b?ng ph?ng c?a d? l?i khu?ch d?i trong dãi bu?c sóng s? d?ng.
"
146	M?t s? y?u t? ?nh hu?ng d?n ch?t lu?ng c?a h? th?ng ghép bu?c sóng quang DWDM là 	"Các lo?i suy hao quang khác nhau nhu suy hao do h?p th?, do tán x? tuy?n tính, do tán x? Rayleigh, suy hao do u?n cong.
Các lo?i tán s?c, tán s?c s?c th?, tán s?c phân c?c.
"
147	M?t tr?m BTS có s? lu?ng cell t?i thi?u là 	1
148	m?c dích c?a vi?c chu?n hoá trong vi?n thông là gì	"Ð? giúp ngu?i s? d?ng du?c nhi?u quy?n l?a ch?n khi mua s?n ph?m
Ð? gi?m b?t khó khan v? k? thu?t khi k?t n?i các h? th?ng thi?t b? c?a các nhà s?n xu?t khác nhau
Ð? cung c?p các d?ch v? k?t n?i qu?c t? du?c d? dàng hon"
149	N?n t?ng ph?n c?ng t?ng dài NSN ATCA có d?c di?m nào sau dây	MSS và MGW s? d?ng cùng n?n t?ng ph?n c?ng
150	N?u 1 trong 2 t?ng dài MSSE4B và MSSE4C b? m?t liên l?c thì 50% s? thuê bao c?a 2 t?ng dài trên s? không th? th?c hi?n cu?c g?i, dúng hay sai 	FALSE
151	Nh?ng thi?t b?, thành ph?n c?a h? th?ng nào sau dây không k?t n?i t?i PE? 	H? th?ng t?ng dài Toll
152	Nh?ng thông s? nào sau dây c?a kênh Megawan n?m trong cam k?t ch?t lu?ng d?ch v? (SLA) gi?a TCT Net v?i khách hàng?	"Bandwidth
Latency
Packet loss
"
153	Nhu?c di?m c?a m?ng GSM là gì 	"T?c d? truy?n s? li?u th?p
Ð? r?ng bang t?n th?p
Tài nguyên vô tuy?n t?n s? b? h?n ch?
"
154	Phát bi?u nào sau dây KHÔNG ÐÚNG v? tr?ng thái c?nh báo trên card c?a thi?t b? HW OSN8800 	Khi LED “LAS”  trên card RAU sáng xanh: Lazer dã t?t và NV có th? thao tác chuy?n cáp quang
155	Ph?n t? nào sau dây không thu?c m?ng lõi (core) 3G 	RNC
156	Ph?n t? nào sau dây luôn luôn di kèm v?i t?ng dài chuy?n m?ch MSC	VLR
157	Ph?n t? nào trên các t?ng dài Ericsson làm nhi?m v? ghi và luu tr? file cu?c	APG
158	Phuong ti?n b?o v? cá nhân làm ngh? v?n hành b?o du?ng s?a ch?a t?i tr?m g?m:	"Qu?n áo, v?i; Gi?y ch?ng tinh di?n
Gang tay cách di?n
"
159	Phuong th?c di?u ch? WCDMA có nghia là	Ða truy nh?p phân chia theo mã bang r?ng
160	Router 7750 SR-7 dang s? d?ng k?t n?i cho  RNC ALU  trong m?ng IP Core Mobile dóng vai gì	CE
161	Router Cisco ASR9K c?n t?i thi?u bao nhiêu card di?u khi?n RSP d? có th? ho?t d?ng	1
162	Router Cisco CRS1 có bao nhiêu module ngu?n 	2
163	RTM (Rear Tranition Modules) trong t?ng dài NSN ATCA là gì	Là t? ng? chung ch? các card n?m phía sau m?t chính c?a shelf
164	Shelf B trên Ciena 5430 có bao nhiêu slot 	9
165	So sánh t?c d? truy?n data gi?a GPRS và EDGE	EDGE > GPRS
166	Software dang ch?y trên h? th?ng MSSN và MGWN c?a  VNPT-NET là gì	DX200 (M16.1) (MSS) và Flexi Ui5.0 (MGW).
167	S? lu?ng line card trong Router Cisco 7609	7
168	S? lu?ng Router Core m?ng VN2 d?t t?i C?n Tho	2
169	S? lu?ng t?n s? thu/phát c?a d?i t?n s? PGSM du?c c?p riêng cho Vinaphone 	43 (coi l?i)
170	So d? k?t n?i phân c?p nào phù h?p trong m?ng VN2	"ASBR-P-PE-BRAS
PE-BRAS-MANE
"
171	STP Tekelek EAGLE 5 h? tr? khai báo t?i da bao nhiêu linkset 	1024
172	STP TEKELEK mà VNPT-NET dang s? d?ng du?c s?n xu?t ? qu?c gia nào	M?
173	Subrack TCSM c?a các BSC Huawei hi?n t?i dang du?c l?p d?t g?n T?ng dài hon so v?i BSC , dúng hay sai 	TRUE
174	SW 4200 t?i tr?m có k?t n?i Uplink d?n thi?t b? nào 	PE
175	T?c d? k?t n?i m?c d?nh (default) d? login tr?c ti?p vào Modem Juniper SSG20 thông qua c?ng Console 	9600 bps
176	T?ng dài AXE có kh? nang du?c s? d?ng d? cung c?p d?ch v? thay th? cho t?ng dài Surpass	FALSE
177	T?ng dài HiG 1100 có th? d?u n?i t?i da bao nhiêu E1 ?	32 E1
178	T?ng dài MSC trong ki?n trúc m?ng UMTS R4 du?c chia thành các ph?n t? nào?	MSC Server, MGW(Media Gateway)  
179	Tham s? nào du?c s? d?ng trong s? TMSI d? nh?n d?ng t?ng dài nào s? qu?n lý thuê bao trong Pool 	NRI
180	Thành ph?n APT trong h? th?ng c?a t?ng dài AXE10 g?m các thi?t b? nào?	"Bao g?m các thi?t b? chuy?n m?ch
Bao g?m các thi?t b? ph?n c?ng cung nhu ph?n m?m di?u khi?n
"
181	Theo khuy?n ngh? c?a Ericsson thì trên m?i card ET-C41 có th? khai báo t?i da bao nhiêu báo hi?u HSL	2
182	Theo qui d?nh VHBD, nhi?t d? phòng máy du?c qui d?nh nhu sau	"T? 22-24 d? C;
Ð?m b?o nhi?t d? t?i giá máy t?i vi? trí qu?t hút vào thi?t b?  không quá 25 d? C"
183	Theo quy thi?t k? c?a t?ng công ty, t?ng dài TSSE4A Ericsson t?i C?n Tho th?c hi?n ch?c nang gì  	Làm Gateway cho các t?ng dài di d?ng thu?c khu v?c dài C?n Tho
184	Theo tài li?u thi?t k? c?a t?ng công ty thì t?ng dài MSSE4C Ericsson có dung lu?ng bao nhiêu thuê bao 	1M
185	Theo tài li?u, c?ng ES trên card EC thi?t b? 1830PSS-32 dùng d?	K?t n?i d?n card EC trên shelf m? r?ng
186	Theo tàili?u, card SCMA-SCC4 cóngu?ngthudu?id?iv?igiaodi?n NTWK là	          - 36 dBm
187	Theo tàili?u, lo?idi?uch?tínhi?uquang 40G s?d?ngtrong card IFMA-QMC1 thi?tb? FW7500 là:	NRZ-ADPSK
